,NAME,INDEX,VALUATION AVG,TOTAL FUNDING USD,FUNDING FROM EARLY STAGES,FUNDING FROM EARLY STAGES > 2M,FUNDING UP UNTIL VALUATION DATE,AVG REVENUE,AVG REVENUE GROWTH,AVG EMPLOYEE GROWTH,VALUATION TO FUNDING RATIO,IS_MARKETING_INDUSTRY,IS_HEALTH_INDUSTRY,IS_ENTERPRISE SOFTWARE_INDUSTRY,IS_FINTECH_INDUSTRY,IS_FOOD_INDUSTRY,IS_ENERGY_INDUSTRY,IS_HOME LIVING_INDUSTRY,IS_TRANSPORTATION_INDUSTRY,IS_MEDIA_INDUSTRY,REVENUE MODEL MARKETPLACE & ECOMMERCE,REVENUE MODEL MANUFACTURING,REVENUE MODEL SAAS,HQ STOCKHOLM,HQ OSLO,HQ HELSINKI,HQ COPENHAGEN
2523,Consector,2523.0,15.0,0.3243251048083063,0.3243251048083063,0,0.3243251048083063,3428000.0,1.2661445234206636,0.9695691426561891,46.2498887,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2524,Swiftcourt,2524.0,5.0,1.8849573719712123,1.8849573719712123,0,1.8849573719712123,366666.6666666667,2.449489742783178,0.0,2.6525798802395206,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2528,Serviceform,2528.0,1.75,0.4402973591363455,0.4402973591363455,0,0.4402973591363455,0.0,0.0,1.3178930553209385,3.974586637159645,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2529,Hostaway Oy,2529.0,7.25,2.7028758580167933,2.7028758580167933,1,2.7028758580167933,427500.0,2.924017738212866,1.2421733189534727,2.682328150031874,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2535,Hirextra Limited,2535.0,12.5,3.37975087694058,3.37975087694058,1,3.37975087694058,0.0,0.0,1.0625592962581036,3.69849745,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2538,Imerso,2538.0,10.0,3.056435849460216,3.056435849460216,1,3.056435849460216,434000.0,1.7110523717424897,0.0,3.2717846840351834,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2542,Mind Music Labs,2542.0,12.5,1.3440229216670452,1.3440229216670452,0,0.6953727120504325,0.0,0.0,0.0,17.975971422780574,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2545,Bipper,2545.0,50.0,5.336994997387541,5.336994997387541,1,5.336994997387541,0.0,0.0,0.0,9.368567897192147,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2548,SUMA Care,2548.0,18.0,0.5459899125542708,0.5459899125542708,0,0.5459899125542708,0.0,0.0,0.0,32.96764205,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2549,Virtusize,2549.0,11.0,15.516683044791149,3.1007961635436434,1,13.767787232023737,466250.0,0.5726555348454738,0.0,0.7989664435265319,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
